iteracja,id_czastki,x,y,fitness
18,12,6.6215,1.1944,26.4000
18,13,6.7843,1.3597,26.4000
18,14,6.5843,1.1601,26.4000
18,15,6.7524,1.4166,26.4000
18,16,6.8134,1.1328,26.4000
18,17,6.6990,1.2199,26.4000
18,18,6.4383,1.3465,26.4000
18,19,6.6763,1.1947,26.4000
19,0,6.4791,1.2552,26.4000
19,1,6.4372,1.1000,26.4000
19,2,6.5962,1.2521,26.4000
19,3,6.7693,1.1742,26.4000
19,4,6.3464,1.1918,26.4000
19,5,6.7282,1.2331,26.4000
19,6,6.8561,1.2623,26.4000
19,7,6.8235,1.1858,26.4000
19,8,6.6924,1.2746,26.4000
19,9,6.7215,1.1410,26.4000
19,10,6.5032,1.1973,26.4000
19,11,6.8195,1.1997,26.4000
19,12,6.5963,1.2147,26.4000
19,13,6.8322,1.4498,26.4000
19,14,6.5209,1.1954,26.4000
19,15,6.6768,1.4196,26.4000
19,16,6.7490,1.1636,26.4000
19,17,6.6689,1.2293,26.4000
19,18,6.4937,1.4852,26.4000
19,19,6.4805,1.2121,26.4000
20,0,6.3931,1.2619,26.4000
20,1,6.4533,1.0255,26.4000
20,2,6.6025,1.2707,26.4000
20,3,6.8386,1.2676,26.4000
20,4,5.9268,1.2125,26.2100
20,5,6.7250,1.2330,26.4000
20,6,6.8999,1.2764,26.4000
20,7,6.7766,1.1720,26.4000
20,8,6.6020,1.3034,26.4000
20,9,6.8065,1.1807,26.4000
20,10,6.5849,1.2045,26.4000
20,11,6.8369,1.2052,26.4000
20,12,6.6055,1.2202,26.4000
20,13,6.7789,1.4245,26.4000
20,14,6.4095,1.0525,26.4000
20,15,6.6327,1.2857,26.4000
20,16,6.7360,1.2223,26.4000
20,17,6.6472,1.2263,26.4000
20,18,6.4680,1.4355,26.4000
20,19,6.4802,1.2299,26.4000
21,0,6.4091,1.2549,26.4000
21,1,6.4395,1.1815,26.4000
21,2,6.5183,1.2645,26.4000
21,3,6.9045,1.2569,26.4000
21,4,6.0503,1.2235,26.4000
21,5,6.7265,1.2330,26.4000
21,6,6.8625,1.2645,26.4000
21,7,6.8043,1.1990,26.4000
21,8,6.6376,1.2517,26.4000
21,9,6.8048,1.1043,26.4000
21,10,6.6359,1.2086,26.4000
21,11,6.8234,1.2088,26.4000
